Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59328137,20.13680795,12.20149135,2.089654904,3.834678851,0.270153782,1.009406484,2.265066625,-2.073120443,-2.324845885,4.241982804,-0.146480395,-0.728507061,5.417261666,-5.08748023,-5.411987982,-0.151921482,6.023132962,-0.084879113,0.24685282,1.401979577,-0.224758911,-10.59912817,-3.886820453,3.05578791,-1.865105256,3.592223121,-0.29053442,5.129657088,1.587868753,1.519821434,,,
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,0.896239263,-2.62404481,-2.650247366,0.424006116,-2.971082952,-0.751145633,0.822466332,1.222450728,-0.399008909,-2.717723399,-2.972206281,-5.199351662,-4.032811419,-0.786168842,1.68935177,2.868259425,0.676025398,-0.822680526,0.005767443,0.517928387,0.834282385,1.372046781,0.312925899,2.926630446,3.802804158,4.214723773,4.545922656,2.242249669,-1.205759196,2.403079435,1.619253338,0.353701561,2.02854812,1.655828996,0.285573453,-0.406482649,0.409546849,0.002632781,-0.570661316,-5.39439148
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868380295,-2.875203167,7.207967218,2.253310644,11.02278717,1.594215458,18.51541929,11.26409057,-2.681061056,8.974865343,1.97416569,-0.665291051,-1.622857186,-0.541416196,0.064764195,-1.194900383,1.535636674,-4.168191087
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.211799269,1.595322064,5.029956668,3.177736662,1.770562271,-3.910192121,-11.53337309,-0.78048359,12.87563821,15.18567292,8.208072279,0.685048296,1.670969926,7.477205391,-4.621852664,5.824956664,1.952560936,-4.820212017,2.387810314,-0.820101271,-9.471484503,-5.980897513,-9.103877791,-2.222962427,2.682754712,-1.342119994,-1.281393542,2.068477368,-0.439562952,3.756719621,-1.534015646,0.012138759,-3.724394954,-2.896614403,-0.695412914,1.90387506,0.975344288,0.821685749,-1.236441348,0.805464917,2.670041264,7.104765945,2.9465216,4.982853436,3.056503821,2.426736944,2.731888455,3.276305314,3.355382596,3.807686887,2.101329447,2.454676533,3.17879432,3.078499389,0.091846225,-2.543516325,-0.429168934,0.217701289,0.501091984,-3.502432971
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.710277854,-3.490383248,0.548516269,2.288507798,-0.107614903,-0.670777629,0.488466543,2.496629636,-3.335953916,-6.657467258,-2.310867997,-8.876931195,-26.41177135,-1.87789751,11.35953867,9.952786592,3.8778581,1.364744017,-1.085298451,-0.267956298,0.822138302,9.943757743,-0.43183389,7.187063696,11.03078294,7.582318726,9.89004909,7.116847905,-2.808599596,0.640263325,-0.220842988,4.70651886,1.291993845,1.219880621,-2.468737307,-5.816187549,-3.409983376,-5.162111791,-3.795607965,-7.079822354
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.51715258,13.60715645,7.633866403,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.048888488,4.223037747,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.609888198,-2.750816342
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-0.654422133,2.863942375,2.645683648,1.027601953,-3.354398306,-0.196879323,-0.258915175,-1.468674346,-3.063824666,-1.299976738,-3.95427565,-2.939031092,-2.561850052,-2.629335686,-2.008406721,-1.023745098,1.323843319,0.980825124,0.791996836,-0.133166841,-1.35923552,-2.869215672,-4.427065042,-0.397087332,0.852320249,3.83189583,9.143981098,3.481177447,3.730346166,1.910286412,4.982252338,0.510652937,4.042246268,3.781885829,1.895271315,2.060202314,-0.518849647,-6.885817402,-5.976684045,-1.966833159,0.834867424,-3.45153545,-1.568871338,4.519279413,3.02081678,4.646211549,0.734439351,1.574254317,1.833060593,-12.09165965
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,12.24201721,4.912999427,-3.795108408,7.99219049,5.674369832,6.58E-05,-11.62496427,-9.466615731,-1.443122828,-5.072995949,1.728943417,-3.252897003,2.82343265,-0.531880582,8.736180069,-0.509326463,3.112138414,0.363980289,0.664040953,-0.218883095,2.221704039,1.963786686,2.901730382,-0.245366823,4.456159735,-0.501401931,-1.598097981,2.486174037,6.683766512,3.078597991,3.700500118,2.15225958,3.36372286,-1.685005366,2.336604138,1.561152077,3.684480351,1.169960895,0.54538223,0.943640544,1.212121567,-0.90127202,0.291180509,-0.24313715,-6.180429982
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,0.154395319,5.350679527,-13.38604046,8.431646467,13.21214006,-2.698733694,-12.18202323,-9.680524336,-1.249370605,-8.689027152,-19.67481892,-2.492523116,-8.217458063,5.918717125,11.67776892,-4.800635543,-2.481187494,-4.341751058,1.247424369,1.354947719,0.630737901,2.834664872,-4.765111252,-2.399488321,4.909159703,-3.778905332,-2.750302954,1.966321187,-0.038010166,-7.020363051,-4.916669307,-11.34565271,-10.20864609,-15.15122468,-5.914967899,2.188028872,2.2579153,4.410204591,4.100117747,4.553179983,1.981149832,1.011416618,-0.320590318,0.225378641,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.728778517,-2.425843153,-6.788239594,8.437243988,8.896809279,-2.136477766,1.678434703,3.28693768,8.050279281,1.479494409,4.007465322,0.005835951,1.156920756,3.851757784,-1.587829386,-3.506390945,5.342990047,-5.916401453,8.577690171,-0.029609998,-6.66849782,-2.307766138,2.681981836,-0.051846592,-6.692590674,4.484326862,1.106064524,-2.603236227,-8.540862012,-3.874085354,7.614326415,6.487631818,6.802926902,4.505456801,-4.032158811,4.274586465,6.864733362,2.681002816,-4.455178459,-1.874936367,-5.447048173,-11.85478172,7.676534048,7.884937505,7.729488996,6.955533576,7.924210888,3.029500652,-6.854225055,9.300122922,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.550091173,-3.055854858,-10.77497741
